Name,Location,Study Program,Sector,Rating,new_Rating,Cities
Campus.pk Lahore,"Office 206, 2nd Floor Siddique Trade Center Main Boulevard Gulberg III Lahore ",FSc Pre Engineering Fsc Pre Medical,Private,0*,0*,Lahore
Allama Iqbal Open University Aiou Islamabad,"Sector H-8, Islamabad-44000",FSc Pre Engineering ICs Computer Science FSc Pre Medical Higher Secondary School Certificate ( FA - Dars-E-Nazami Group) Higher Secondary School Certificate ( FA - General Group) Icom FA,Public,5*,5*,Islamabad
Government College University Gcu Lahore,"GC University, Katchery Road Lahore 54000",FSc Pre Engineering ICS Computer Science FSc Pre Medical F.A (Arts) F.A (General Science) I.Com,Public,4*,4*,Lahore
Govt College University GCU Faisalabad,"Kotwali Rd, Faisalabad 38000",FSc Pre-Engineering ICS FSc Pre-Medical Icom FA FA General Science,Public,3*,3*,Faisalabad
Lahore College For Women University (Lcwu) Lahore,"Near Wapda Flats, Jail Road, Lahore",FA Arts FSc Pre Engineering ICS Physics ICS Statistics ICS Economics FSc Pre Medical F.A (Home Economics) F.A (General Science) F.Sc (Applied Psychology) Icom,Public,5*,5*,Lahore
University Of Agriculture Faisalabad,"University of Agriculture, Agriculture University Road, Faisalabad, . Zip Code 38000.",FSc Pre Agriculture,Public,5*,5*,Faisalabad
Pir Mehr Ali Shah Arid Agriculture University Rawalpindi,"PMAS-Arid Agriculture University Rawalpindi, Shamsabad, Muree Road Rawalpindi - .",FSc Pre Agriculture,Public,5*,5*,Rawalpindi
International Islamic University Iiu Islamabad,"International Islamic University Sector H-10, Islamabad",FSc Pre-Engineering ICS FSc Pre-Medical Icom FA FA General Science,Public,5*,5*,Islamabad
Kinnaird College For Women Lahore,"93- Jail Road, Lahore",FSc Pre Engineering ICS ICS Statistics ICS Physics FSc Pre Medical Icom FA Humanities FA General Science,Public,5*,5*,Lahore
The Women University Multan,"Kutchery Campus, L.M.Q. Road, Multan.",FSc Pre Engineering ICS FSc Pre Medical General Science FA,Public,0*,0*,Multan
Forman Christian College University Lahore,Ferozepur Road Lahore 54600 ,FSc Pre Engineering ICS Computer Sciecne FSc Pre Medical ICS Statistics ICS Physics Icom FA Arts FA General Science,Private,4*,4*,Lahore
Riphah International College Lahore,Head Office :28-M Quaid-e-Azam Industrial Estate Kot Lakhpat Lahore,Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Private,0*,0*,Lahore
Punjab Group of Colleges PGC Lahore,"1 Noon Avenue, New Muslim Town at Canal Bank Lahore",FSc Pre Engineering ICS Computer Science FSc Pre Medical FA General Science Icom,Private,2*,2*,Lahore
"Queen Mary College, Lahore","2-Durrand Road Garhi Shahu, Lahore",FSc Pre Engineering Intermediate in Home Economics ICs Computer Science FSc Pre Medical General Science Icom FA,Public,1*,1*,Lahore
Superior University,"31 Tipu Block new Garden town Lahore kalma chowk. 17 km Main Raiwind Road, Lahore.",Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Public,4*,4*,Lahore
University Of Peshawar,"Baragali Summer Campus, Peshawar",FSc Pre Engineering FSc Pre Medical FSc FA,Public,3.5*,4*,Peshawar
Allama Iqbal Open University Lahore AIOU,"Regional Campus, Allama Iqbal Open University, 346 Raza Block, Allama Iqbal Town, LAHORE",Higher Secondary School Certificate (Dars-E-Nazami Group)  Intermediate in Commerce ICom Higher Secondary School Certificate (General Group),Public,5*,5*,Lahore
Islamia College Peshawar,Islamia College Peshawar University Campus Peshawar Khyber Pakhtunkhwa ,FSc Pre Engineering ICS FSc Pre Medical FA ,Public,5*,5*,Peshawar
Government Sadiq College Women University Bahawalpur,Cheema Town Near BISE Bahawalpur,Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Public,3*,3*,Bahawalpur
Govt College of Science Wahdat Road Lahore,"Govt. College of Science, Wahdat Road Lahore, ",FSC pre Engineering ICS FSC pre medical ICOM FA FA General Science,Public,3*,3*,Lahore
Muhammad Nawaz Sharif University Of Agriculture Multan,"Sui gas Road, Old Shujaabad Road, Multan.",FSc Pre Agriculture,Public,4.25*,4*,Multan
Government College For Women University Gcwu Faisalabad,"Government College Women University, Shafique Road Faisalabad Zip Code 38000",Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Public,4*,4*,Faisalabad
The University of Lahore,The University of Lahore 1-KM Raiwind Road Lahore ,FSc Pre Engineering Fsc Pre Medical ,Private,3*,3*,Lahore
Minhaj University Lahore,"Near Hamdard Chowk, Township, Lahore.",ICS FA FA General Science,Private,3.25*,3*,Lahore
Lahore Garrison University (LGU),"Sector C, DHA Phase-VI Lahore",Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Private,5*,5*,Lahore
Govt Islamia College Civil Lines Lahore,"Govt. Islamia College Civil Lines, Near Kuchari Lahore.",FSc Pre Engineering ICS Statistics ICS Physics FSc Pre Medical Icom FA FA General Science,Public,2*,2*,Lahore
Govt MAO College Lahore,Lower Mall Road Lahore opp Edcuation University,FSc Pre Engineering ICS Statistics ICS Physics FSc Pre Medical FA Icom FA General Science,Public,4*,4*,Lahore
"Army Medical College, Rawalpindi",Abid Majid Road Rawalpindi Cantt  46000,FSc Pre Medical,Private,3*,3*,Rawalpindi
Kips College Lahore,"30-A, Johar Town, Lahore",FSc Pre Engineering ICS Computer Science FSc Pre Medical A level Icom FA,Private,4*,4*,Lahore
Govt Post Graduate Islamia College for Women Cooper Road Lahore,"Cooper Road, Lahore",FSc Pre Engineering ICs Computer Sciecne FSc Pre Medical ICS Physics F.A (General Science) Icom FA Arts,Private,0*,0*,Lahore
Govt Post Graduate College for Women Satellite Town Rawalpindi,Satellite Town Rawalpindi,FA ICom FSc Pre Medical FSc Pre Engineering ICS,Public,2*,2*,Rawalpindi
College of Tourism and Hotel Management COTHM Pakistan,"5-C Main Gulberg II, Ayesha Saddiqa Road (Behind EFU House) Jail Road, Lahore, ",Intermediate in Culinary Arts (PBTE) Intermediate in Hotel Operations (PBTE) ,Private,5*,5*,Lahore
Shaheed Zulfiqar Ali Bhutto Medical University Islamabad,"PIMS, Islamabad",FSc Medical Laboratory Technology FSc Dental Hygiene Technology FSc Ophthalmology Technology FSc Medical Imaging Technology FSc Physiotherapy Technology Fsc OT Technology ,Public,5*,5*,Islamabad
Pakistan Military Academy Abbottabad,"Kakul Road, Abbottabad",FA Fsc Pre Medical ICS Computer Science ICom FSc Pre Engineering,Public,5*,5*,Abbottabad
University Of Balochistan Quetta,"Sariab Road, Quetta",FA Fsc Pre Medical ,Public,3.5*,4*,Quetta
Gift University Gujranwala,"GIFT University, Near GIFT University Chowk, Gujranwala- 52250.",FSc Pre Engineering FSc Pre Medical ICs Computer Science ICom Commerce FA,Private,4.5*,4*,Gujrawala
Superior Group of Colleges Faisalabad,"103-C Peoples Colony-1, Faisalabad",Icom ICs Computer Science FA FSc Pre Engineering FSc Pre Medical,Private,5*,5*,Faisalabad
